subj_idx,stim,rt,response
0,B0,0.831933622202986,0
0,N1,0.552797998963826,0
0,N1,0.611909072120354,0
0,A0,0.92716812895517,1
0,N1,0.79581018860733,0
0,N1,0.644748557207314,0
0,A1,0.725752620421815,0
0,A2,0.703859630363842,0
0,A1,0.603151876097165,0
0,A0,0.744361661971093,1
0,B0,0.564839143495712,0
0,N2,0.68087199080297,0
0,A1,0.639275309692821,0
0,A0,0.908559087405893,1
0,A0,0.94358787149865,1
0,B2,0.673209444282679,1
0,N1,0.773917198549357,0
0,N1,0.657884351242098,0
0,N1,0.690723836329058,0
0,N1,0.653505753230503,0
0,A0,0.833028271705885,0
0,A0,0.741077713462397,1
0,N1,0.620666268143543,0
0,N1,0.743267012468194,0
0,N2,0.688534537323261,0
0,A0,0.689629186826159,1
0,A0,0.604246525600064,1
0,A0,0.787052992584141,1
0,A1,0.711522176884133,0
0,A0,0.805662034133418,1
0,N2,0.641464608698618,0
0,A0,0.804567384630519,0
0,N1,0.811135281647911,0
0,A0,0.930452077463866,1
0,N1,0.634896711681226,0
0,B4,0.600962577091367,0
0,A0,0.937019974481258,1
0,N2,0.593300030571077,0
0,A0,0.744361661971093,1
0,A3,0.56593379299861,0
0,A1,0.627234165160935,0
0,B1,0.552797998963826,0
0,A1,0.633802062178327,0
0,A2,0.605341175102962,0
0,A0,0.745456311473991,1
0,N1,0.756402806502978,0
0,N2,0.675398743288477,0
0,A2,0.63161276317253,0
0,A0,0.773917198549357,1
0,A2,0.46741533773773,1
0,B0,0.826460374688493,1
0,B0,0.623950216652239,1
0,N5,0.591110731565279,0
0,N1,0.637086010687023,0
0,A1,0.836312220214581,1
0,N2,0.591110731565279,0
0,N1,0.711522176884133,0
0,B0,0.608625123611658,1
0,B0,0.650221804721807,1
0,B0,0.586732133553685,1
0,N3,0.669925495773984,0
0,B0,0.586732133553685,0
0,N1,0.691818485831957,0
0,A1,0.593300030571077,0
0,A0,0.768443951034863,1
0,B1,0.640369959195719,0
0,N2,0.714806125392829,0
0,B1,0.644748557207314,0
0,B2,0.605341175102962,0
0,B1,0.830838972700087,1
0,N1,0.743267012468194,0
0,B3,0.561555194987016,0
0,B1,0.819892477671101,1
0,B1,0.784863693578343,1
0,B1,0.716995424398626,1
0,N1,0.668830846271085,0
0,N1,0.646937856213111,0
0,N1,0.428007955633378,0
0,N3,0.568123092004408,0
0,B2,0.54185150393484,0
0,A3,0.716995424398626,1
0,A1,0.633802062178327,0
0,N4,0.488213678292805,0
0,B1,0.652411103727605,1
0,N3,0.518863864373968,0
0,N4,0.657884351242098,0
0,A0,0.89432864386821,1
0,N1,0.602057226594266,0
0,B0,0.708238228375437,1
0,A0,0.698386382849349,1
0,N1,0.583448185044989,0
0,N4,0.524337111888461,0
0,B3,0.654600402733402,0
0,N2,0.61519302062905,0
0,B0,0.937019974481258,1
0,B3,0.577974937530495,0
0,B0,0.747645610479789,1
0,N1,0.620666268143543,0
0,B0,0.700575681855146,1
0,N2,0.673209444282679,0
0,A0,1.08479765737258,1
0,N1,0.752024208491383,0
0,B2,0.592205381068178,0
0,N1,0.528715709900056,0
0,N1,0.63161276317253,0
0,A1,0.607530474108759,0
0,A1,0.579069587033394,0
0,A0,0.758592105508775,1
0,A2,0.515579915865272,0
0,A2,0.644748557207314,0
0,A1,0.692913135334855,0
0,N1,0.898707241879805,0
0,A0,0.756402806502978,1
0,B0,0.706048929369639,1
0,A0,0.679777341300071,1
0,N3,0.509012018847879,0
0,N4,0.662262949253693,0
0,N2,0.576880288027597,0
0,N4,0.627234165160935,0
0,N4,0.673209444282679,0
0,A2,0.651316454224706,0
0,A2,0.638180660189922,1
0,B3,3.23797322957425,1
0,A2,0.702764980860943,1
0,N2,0.650221804721807,1
0,A4,0.639275309692821,0
0,N1,0.63161276317253,0
0,A1,0.76297070352037,0
0,A0,0.758592105508775,1
0,N2,0.600962577091367,0
0,N1,0.675398743288477,0
0,A1,0.662262949253693,0
0,A2,0.82864967369429,1
0,N5,0.76297070352037,0
0,B2,0.815513879659506,1
0,N1,0.59877327808557,0
0,N3,0.489308327795704,0
0,A1,0.666641547265287,0
0,A3,0.651316454224706,0
0,A0,0.720279372907322,1
0,N2,0.710427527381234,0
0,A3,0.741077713462397,1
0,N2,0.579069587033394,0
0,A0,0.638180660189922,1
0,N1,0.585637484050786,0
0,A2,0.614098371126151,0
0,A0,0.719184723404423,1
0,A0,0.716995424398626,1
0,N2,0.639275309692821,0
0,A0,0.818797828168202,1
0,N1,0.639275309692821,0
0,N2,0.669925495773984,0
0,A2,0.663357598756591,0
0,B0,0.96767016056242,1
0,N1,0.599867927588469,0
0,B3,0.510106668350778,1
0,B1,0.606435824605861,0
0,N5,0.559365895981218,0
0,N2,1.00269894465518,0
0,A0,0.884476798342122,1
0,B0,0.737793764953701,1
0,B0,0.628328814663834,1
0,B1,0.666641547265287,1
0,N3,0.586732133553685,1
0,N1,0.74655096097689,0
0,N1,0.739983063959498,0
0,B3,0.619571618640645,0
0,N1,0.955629016030535,0
0,B0,1.02568658421605,1
0,B0,0.645843206710213,1
0,N1,0.838501519220378,1
0,N1,0.807851333139215,0
0,N2,0.610814422617455,0
0,B2,1.01911868719866,1
0,N4,0.640369959195719,0
0,A1,0.61519302062905,1
0,B0,0.737793764953701,1
0,B3,0.998320346643583,0
0,N1,0.702764980860943,0
0,A1,1.05086352278272,1
0,N4,0.617382319634847,0
0,A0,0.998320346643583,1
0,B1,0.761876054017471,0
0,B0,0.831933622202986,0
0,N1,0.968237393004976,0
0,N3,0.654075260168255,0
0,B0,0.625234146334064,0
0,A0,1.38952366294012,1
0,N1,0.715877646955807,0
0,B2,0.553131361748587,0
0,N2,0.508839651217509,0
0,A0,0.38317479808282,0
0,N1,0.55004124240921,0
0,A0,0.984718029481657,1
0,A2,0.490298935181243,0
0,A1,0.751929039248545,0
0,B0,0.943516438289955,1
0,N1,0.671585936424728,0
0,A0,1.04343029692983,1
0,A2,0.499569293199376,0
0,A1,0.975447671463524,1
0,A0,0.850812858108628,1
0,N4,0.469698139585393,0
0,N2,0.595362992720081,0
0,A1,0.572702117564646,0
0,N1,0.655105299948048,0
0,A1,0.594332952940288,0
0,A1,1.13716391689095,1
0,A1,0.646864981709707,0
0,A1,0.521200128575019,0
0,N1,0.865233415025723,1
0,A0,0.83124210229257,1
0,N2,0.515019889896264,0
0,N1,0.774589914403981,0
0,N4,0.850812858108628,0
0,A0,0.885834210621574,1
0,A0,0.988838188600827,1
0,B0,1.02797970023294,1
0,A0,0.865233415025723,1
0,N1,0.821971744274437,0
0,N4,0.479998537383318,0
0,A3,0.531500526372944,0
0,A0,0.867293494585308,1
0,B0,0.74574880056979,1
0,N2,0.524290247914397,0
0,B0,0.525320287694189,0
0,A0,0.94557651784954,1
0,A1,0.470728179365185,0
0,N2,0.57064203800506,0
0,N4,0.580942435802986,0
0,A4,0.430556627953277,0
0,A1,0.583002515362571,0
0,A0,1.07124137098423,1
0,B0,0.906435006217424,1
0,B0,0.850812858108628,1
0,A4,0.518110009235642,0
0,B1,0.806521147577549,1
0,N3,0.466608020246015,0
